index,room,start_time,end_time,epoch
40,150,1410,1525,4
41,150,1505,1620,4
42,130,790,905,4
43,130,960,1075,4
44,130,1075,1190,4
0,140,1390,1505,5
1,140,1695,1810,5
2,150,940,1055,5
3,150,1100,1215,5
4,160,1710,1825,5
5,160,1295,1410,5
6,160,1565,1680,5
7,155,1620,1735,5
8,155,1225,1340,5
9,145,1370,1485,5
10,155,1040,1155,5
11,260,1660,1710,5
12,145,1520,1635,5
13,230,1355,1470,5
14,230,1680,1795,5
15,230,1560,1675,5
16,140,1210,1325,5
17,140,1515,1630,5
18,150,1710,1825,5
19,145,840,955,5
20,145,1050,1165,5
21,145,1170,1285,5
22,240,800,915,5
23,240,1050,1165,5
24,240,1275,1390,5
25,140,800,915,5
26,140,940,1055,5
27,140,1075,1190,5
28,155,905,1020,5
29,160,975,1090,5
30,160,1170,1285,5
31,155,1365,1480,5
32,150,1305,1355,5
33,130,1225,1340,5
34,130,1430,1545,5
35,130,1600,1715,5
36,240,1510,1625,5
37,230,885,1000,5
38,230,1055,1170,5
39,230,1175,1290,5
40,150,1380,1495,5
41,150,1615,1730,5
42,130,805,920,5
43,130,960,1075,5
44,130,1090,1205,5
0,140,1390,1505,6
1,140,1710,1825,6
2,150,950,1065,6
3,150,1125,1240,6
4,160,1690,1805,6
5,160,1290,1405,6
6,160,1575,1690,6
7,155,1615,1730,6
8,155,1225,1340,6
9,145,1370,1485,6
10,155,1060,1175,6
11,260,1655,1705,6
12,145,1510,1625,6
13,230,1340,1455,6
14,230,1680,1795,6
15,230,1555,1670,6
16,140,1205,1320,6
17,140,1520,1635,6
18,150,1690,1805,6
19,145,825,940,6
20,145,1030,1145,6
21,145,1165,1280,6
22,240,830,945,6
23,240,1045,1160,6
24,240,1225,1340,6
25,140,790,905,6
26,140,930,1045,6
27,140,1085,1200,6
28,155,925,1040,6
29,160,985,1100,6
30,160,1155,1270,6
31,155,1350,1465,6
32,150,1325,1375,6
33,130,1275,1390,6
34,130,1430,1545,6
35,130,1655,1770,6
36,240,1445,1560,6
37,230,900,1015,6
38,230,1045,1160,6
39,230,1190,1305,6
40,150,1400,1515,6
41,150,1520,1635,6
42,130,795,910,6
43,130,955,1070,6
44,130,1075,1190,6
0,140,1385,1500,7
